respondent_id,submitted_at,department,rating,nps,comment
R100350,2025-10-16,Marketing,3,6,"Mixed feelings honestly because fine day to day, frustrating at month-end."
R105674,2025-09-19,People,3,5,Could go either way because a few things work well but others need attention.
R105355,2025-01-28,Operations,1,2,Pretty let down lately because the tools crash constantly. Needs to change soon.
R103407,2025-11-13,Sales,1,1,I keep running into problems because management ignores our concerns. That's my honest take.
R102523,2025-11-23,People,2,2,I keep running into problems because the tools crash constantly. Would recommend.
R100510,2025-03-05,Support,3,4,Could go either way because a few things work well but others need attention. Hope it stays this way.
R103758,2025-08-25,Support,1,2,The whole thing feels broken because communication is terrible. Would recommend.
R100270,2025-04-10,Support,4,9,
R107899,2025-07-16,Operations,2,4,Not a great experience at all because nobody responds to my requests. Needs to change soon.
R106400,2025-09-11,People,3,4,"Not bad, not great because fine day to day, frustating at month-end. Thanks for asking."
R107126,2025-02-10,Operations,4,7,So impressed with the support because leadership is transparent.
R103081,2025-12-01,Engineering,4,8,The team is fantastic because the managers actually listen. Hope it stays this way.
R107869,2025-10-14,Engineering,5,9,Everything has been excellent because the tools we use are reliable. Please look into it.
R107736,2025-01-06,Marketing,3,4,Average experience so far because the basics are fine though support lags. Thanks for asking.
R107273,2025-02-22,Operations,5,9,So impressed with teh support because great work-life balance. Needs to change soon.
R102922,2025-09-23,Sales,4,8,Really happy with how things are going because onboarding was smooth and friendly. Thanks for asking.
R106630,2025-01-27,Engineering,3,6,"Could go either way because good people, unclear direction. Please look into it."
R103932,2025-12-28,People,5,8,Best experience I've had because the tools we use are reliable.
R102001,2025-10-16,Operations,3,6,"It's okay overall because good people, unclear direction."
R105062,2025-07-12,Support,5,9,
R102469,2025-03-26,Sales,3,6,"Some good, some bad because a few things work well but others need attention. That's my honest take."
R103811,2025-04-14,People,4,7,Couldn't ask for a better setup because the tools we use are reliable. Thanks for asking.
R106106,2025-03-04,People,1,1,THIS HAS BEEN FRUSTRATING BECAUSE COMMUNICATION IS TERRIBLE.
R105921,2025-07-29,Marketing,5,9,Really happy with how things are going because the managers actually listen. Thanks for asking.
R102365,2025-07-08,Operations,5,10,Best experiance I've had because onboarding was smooth and friendly. That's my honest take.
R104892,2025-06-02,Engineering,4,7,The team is fantastic because the tools we use are reliable.
R107053,2025-04-04,Operations,5,9,Everything has been excellent because onboarding was smooth and friendly. That's my honest take.
R103265,2025-03-28,Marketing,4,8,Best experience I've had because great work-life balance. Hope it stays this way.
R103962,2025-11-04,Operations,1,0,Really unhappy with the situation because the tools crash constantly. Please look into it.
R105350,2025-07-07,Sales,5,9,
R106115,2025-06-18,Engineering,2,4,This has been frustrating because promises are never kept. That's my honest take.
R102651,2025-11-08,Support,1,0,The whole thing feels broken because the process is slow and confusing. Needs to change soon.
R101761,2025-12-04,Engineering,4,7,The team is fantastic because communication is clear and helpful. Hope it stays this way.
R104558,2025-12-09,Engineering,4,7,Everything has been excellent because great work-life balance. Thanks for asking.
R107762,2025-09-16,Engineering,3,5,"Not bad, not great because the basics are fine though support lags. Would recommend."
R104957,2025-11-18,People,2,3,I KEEP RUNNING INTO PROBLEMS BECAUSE MANAGEMENT IGNORES OUR CONCERNS. HOPE IT STAYS THIS WAY.
R104612,2025-05-23,Sales,4,9,
R106625,2025-10-04,Engineering,4,9,Best experience I've had because leadership is transparent. Thanks for asking.
R103725,2025-06-26,Sales,3,5,Mixed feelings honestly because the basics are fine though support lags. Please look into it.
R106019,2025-12-07,Sales,5,9,
R104072,2025-09-20,Engineering,4,9,So impressed with the support because leadership is transparent. Would recommend.
R107156,2025-03-11,People,5,8,Everything has been excellent because communication is clear and helpful. That's my honest take.
R100831,2025-02-27,Sales,1,1,Really unhappy with the situation because the tools crash constantly. Please look into it.
R100432,2025-02-02,Support,3,6,"Some good, some bad because improving slowly but still gaps. Thanks for asking."
R107920,2025-03-21,Engineering,3,5,"Some good, some bad because decent tools but slow processes. Please look into it."
R101886,2025-02-26,Sales,5,10,So impressed with the support because communication is clear and helpful. Would recommend.
R106629,2025-12-14,Marketing,3,4,It's okay overall because decent tools but slow processes. Please look into it.
R102578,2025-01-27,Operations,2,2,I keep running into problems because the tools crash constantly.
R102343,2025-06-15,Support,1,0,This has been frustrating because promises are never kept. That's my honest take.
R103142,2025-08-23,Engineering,4,8,Everything has been excellent because communication is clear and helpful. Please look into it.
R101844,2025-12-18,Operations,3,4,"Not bad, not great because the basics are fine though support lags. Hope it stays this way."
R103374,2025-09-04,Engineering,4,7,Everything has been excellent because onboarding was smooth and friendly. Needs to change soon.
R105348,2025-12-14,Marketing,5,8,So impressed with the support because onboarding was smooth and friendly. Needs to change soon.
R106774,2025-06-24,Engineering,4,9,Genuinely love working here because the managers actually listen. Please look into it.
R101268,2025-02-12,Support,4,7,So impressed with the support because great work-life balance. Thanks for asking.
R105776,2025-04-29,People,3,5,"Not bad, not great because a few things work well but others need attention. Needs to change soon."
R104784,2025-06-08,Engineering,3,5,"Average experience so far because fine day to day, frustrating at month-end. Needs to change soon."
R100749,2025-04-12,Support,4,9,Really happy with how things are going because the tools we use are reliable. That's my honest take.
R107496,2025-11-01,Sales,3,6,It's okay overall because the basics are fine though support lags. Please look into it.
R107859,2025-08-02,Engineering,2,3,I KEEP RUNNING INTO PROBLEMS BECAUSE WORKLOAD IS OVERWHELMING AND UNFAIR. HOPE IT STAYS THIS WAY.
R104576,2025-12-09,Engineering,4,8,Best experience I've had because the tools we use are reliable. Would recommend.
R107019,2025-06-20,Operations,4,8,Best experience I've had because the managers actually listen. That's my honest take.
R104819,2025-06-30,Marketing,4,9,
R102435,2025-03-28,Operations,1,1,
R100596,2025-02-28,Engineering,3,6,Average experience so far because decent tools but slow processes. Thanks for asking.
R101001,2025-11-12,Sales,5,8,Everything has been excellent because great work-life balance.
R106254,2025-05-13,Operations,3,4,It's okay overall because improving slowly but still gaps. Thanks for asking.
R103740,2025-08-16,Engineering,4,7,Genuinely love working here because the tools we use are reliable. Hope it stays this way.
R104809,2025-12-30,Support,5,10,Everything has been excellent because my feedback gets acted on quickly. Hope it stays this way.
R105444,2025-02-08,Sales,4,8,
R106102,2025-11-07,Support,5,10,Couldn't ask for a better setup because leadership is transparent. Hope it stays this way.
R102268,2025-02-14,Support,5,10,Genuinely love working here because communication is clear and helpful. Hope it stays this way.
R101137,2025-07-29,Engineering,4,9,Really happy with how things are going because communication is clear and helpful. Please look into it.
R100026,2025-12-29,Engineering,1,1,
R107765,2025-10-07,Sales,3,6,"Some good, some bad because improving slowly but still gaps. Thanks for asking."
R107065,2025-04-25,Marketing,5,10,The team is fantastic because onboarding was smooth and friendly. Needs to change soon.
R106451,2025-10-04,Engineering,5,9,Couldn't ask for a better setup because onboarding was smooth and friendly. Hope it stays this way.
R104036,2025-10-30,Marketing,2,3,The whole thing feels broken because nobody responds to my requests. Needs to change soon.
R103018,2025-04-07,Engineering,4,8,Best experience I've had because great work-life balance.
R107361,2025-01-09,Sales,3,6,Could go either way because the basics are fine though support lags. Hope it stays this way.
R100998,2025-06-05,Sales,5,9,Everything has been excellent because communication is clear and helpful. Please look into it.
R101611,2025-08-07,Operations,4,8,Couldn't ask for a better setup because communication is clear and helpful. Would recommend.
R105453,2025-01-16,Engineering,1,2,This has been frustrating because management ignores our concerns. Would recommend.
R104868,2025-03-08,Support,5,9,Genuinely love working here because great work-life balance. Thanks for asking.
R105141,2025-08-29,Operations,4,8,Best experience I've had because the managers actually listen. Thanks for asking.
R106913,2025-10-30,Support,4,7,Couldn't ask for a better setup because the managers actually listen. Thanks for asking.
R100727,2025-02-10,Support,4,8,
R105456,2025-04-10,Operations,4,7,Everything has been excellent because leadership is transparent. Would recommend.
R103344,2025-07-27,Support,4,9,
R104332,2025-10-18,Sales,2,3,I keep running into problems because communication is terrible. Please look into it.
R107094,2025-03-03,Marketing,3,6,Average experience so far because the basics are fine though support lags. Needs to change soon.
R102041,2025-02-10,Support,2,2,Not a great experience at all because management ignores our concerns. That's my honest take.
R107410,2025-05-20,Engineering,3,6,Mixed feelings honestly because a few things work well but others need attention. Would recommend.
R107422,2025-11-16,Support,2,3,The whole thing feels broken because promises are never kept. Needs to change soon.
R104878,2025-12-29,Marketing,4,8,So impressed with the support because communication is clear and helpful. Thanks for asking.
R101713,2025-03-11,Engineering,5,9,The team is fantastic because onboarding was smooth and friendly. That's my honest take.
R103358,2025-03-04,Sales,1,2,This has been frustating because management ignores our concerns. Thanks for asking.
R106782,2025-08-01,Sales,5,9,REALLY HAPPY WITH HOW THINGS ARE GOING BECAUSE COMMUNICATION IS CLEAR AND HELPFUL. NEEDS TO CHANGE SOON.
R106433,2025-02-09,Support,5,9,Couldn't ask for a better setup because the tools we use are reliable.
R102069,2025-11-14,People,3,5,"Average experience so far because fine day to day, frustrating at month-end. Hope it stays this way."
R105581,2025-07-19,Support,2,4,This has been frustrating because nobody responds to my requests.
R107424,2025-11-22,Operations,4,9,Everything has been excellent because teh tools we use are reliable. Hope it stays this way.
R101084,2025-12-20,Engineering,4,7,Everything has been excellent because the tools we use are reliable.
R101468,2025-11-02,Support,4,8,The team is fantastic because the managers actually listen. That's my honest take.
R106682,2025-01-05,Support,3,4,"Not bad, not great because good people, unclear direction. Thanks for asking."
R101154,2025-06-29,Sales,3,4,Could go either way because the basics are fine though support lags. Thanks for asking.
R103723,2025-06-30,Engineering,5,9,The team is fantastic because leadership is transparent. Please look into it.
R100738,2025-10-11,Engineering,5,8,Couldn't ask for a better setup because onboarding was smooth and friendly. Thanks for asking.
R100664,2025-09-04,Operations,5,8,Genuinely love working here because great work-life balance. Would recommend.
R107363,2025-01-23,Marketing,1,1,I keep running into problems because communication is terrible. Would recommend.
R106445,2025-11-06,Support,2,3,Honestly disappointed because the process is slow and confusing. Please look into it.
R103387,2025-07-07,Sales,3,6,"MIXED FEELINGS HONESTLY BECAUSE FINE DAY TO DAY, FRUSTRATING AT MONTH-END. THAT'S MY HONEST TAKE."
R106468,2025-09-25,Engineering,4,9,Genuinely love working here because my feedback gets acted on quickly. Needs to change soon.
R101822,2025-05-30,Sales,3,6,"Some good, some bad because improving slowly but still gaps. Hope it stays this way."
R107302,2025-02-21,People,5,9,So impressed with the support because onboarding was smooth and friendly. That's my honest take.
R104517,2025-12-21,Marketing,2,2,Pretty let down lately because workload is overwhelming and unfair.
R100589,2025-05-11,Engineering,4,7,Genuinely love working here because great work-life balance. Please look into it.
R101055,2025-09-13,People,5,9,So impressed with the support because my feedback gets acted on quickly. Needs to change soon.
R107629,2025-09-24,Operations,4,7,Best experiance I've had because onboarding was smooth and friendly.
R104667,2025-04-16,Operations,4,9,Couldn't ask for a better setup because leadership is transparent. Please look into it.
R104222,2025-04-08,Sales,4,7,Best experience I've had because the tools we use are reliable. Thanks for asking.
R105250,2025-12-18,Support,3,5,"Mixed feelings honestly because good people, unclear direction. Would recommend."
R103693,2025-03-13,Operations,3,6,"Not bad, not great because good people, unclear direction. Please look into it."
R106281,2025-04-26,Operations,4,7,Best experience I've had because great work-life balance. Thanks for asking.
R104723,2025-09-09,Sales,4,9,Everything has been excellent because great work-life balance. Thanks for asking.
R104605,2025-08-23,Sales,5,10,EVERYTHING HAS BEEN EXCELLENT BECAUSE THE MANAGERS ACTUALLY LISTEN. NEEDS TO CHANGE SOON.
R102222,2025-05-20,Marketing,4,8,Best experience I've had because onboarding was smooth and friendly. Needs to change soon.
R106611,2025-05-15,Operations,4,8,Everything has been excellent because the tools we use are reliable. Would recommend.
R105153,2025-06-09,Engineering,3,5,
R101706,2025-09-21,Engineering,4,7,Couldn't ask for a better setup because my feedback gets acted on quickly. That's my honest take.
R100480,2025-06-29,Operations,5,10,Couldn't ask for a better setup because the tools we use are reliable. Would recommend.
R103589,2025-10-29,Operations,3,5,"NOT BAD, NOT GREAT BECAUSE THE BASICS ARE FINE THOUGH SUPPORT LAGS. WOULD RECOMMEND."
R107957,2025-01-04,People,5,9,The team is fantastic because leadership is transparent. Thanks for asking.
R103222,2025-04-17,Sales,4,8,The team is fantastic because the tools we use are reliable.
R104602,2025-03-29,Support,5,8,Couldn't ask for a better setup because great work-life balance.
R106251,2025-06-20,Engineering,5,9,Really happy with how things are going because communication is clear and helpful. Needs to change soon.
R103080,2025-12-19,Engineering,4,8,Really happy with how things are going because communication is clear and helpful. Would recommend.
R102472,2025-09-16,Sales,3,6,"It's okay overall because fine day to day, frustrating at month-end. That's my honest take."
R105338,2025-08-20,Support,1,0,I keep running into problems because workload is overwhelming and unfair. Hope it stays this way.
R105078,2025-05-03,Operations,3,6,"Could go either way because fine day to day, frustrating at month-end. That's my honest take."
R102807,2025-01-16,Support,5,10,Couldn't ask for a better setup because leadership is transparent. That's my honest take.
R104545,2025-03-27,Marketing,3,6,"Some good, some bad because the basics are fine though support lags. Please look into it."
R101082,2025-07-22,Support,1,1,Honestly disappointed because nobody responds to my requests. Hope it stays this way.
R100817,2025-03-15,People,5,10,So impressed with the support because my feedback gets acted on quickly. Would recommend.
R101046,2025-09-11,Support,3,5,Average experience so far because the basics are fine though support lags. Please look into it.
R100415,2025-03-15,Marketing,5,9,
R100809,2025-08-24,Operations,2,4,The whole thing feels broken because workload is overwhelming and unfair. Needs to change soon.
R101390,2025-05-29,Marketing,5,10,Genuinely love working here because onboarding was smooth and friendly. Would recommend.
R107116,2025-07-31,Operations,5,8,So impressed with teh support because teh tools we use are reliable.
R105050,2025-01-17,Engineering,4,8,
R100197,2025-11-27,Sales,5,8,SO IMPRESSED WITH THE SUPPORT BECAUSE COMMUNICATION IS CLEAR AND HELPFUL. HOPE IT STAYS THIS WAY.
R104616,2025-10-08,Engineering,1,0,The whole thing feels broken because nobody responds to my requests. Would recommend.
R105179,2025-04-15,Sales,2,2,REALLY UNHAPPY WITH THE SITUATION BECAUSE MANAGEMENT IGNORES OUR CONCERNS. HOPE IT STAYS THIS WAY.
R104946,2025-09-03,Engineering,4,8,The team is fantastic because onboarding was smooth and friendly. Would recommend.
R101044,2025-07-08,Support,2,3,
R100120,2025-02-15,Operations,1,2,REALLY UNHAPPY WITH THE SITUATION BECAUSE MANAGEMENT IGNORES OUR CONCERNS. NEEDS TO CHANGE SOON.
R103474,2025-08-28,Operations,3,5,"Could go either way because fine day to day, frustrating at month-end. Thanks for asking."
R106858,2025-12-22,Engineering,2,2,PRETTY LET DOWN LATELY BECAUSE WORKLOAD IS OVERWHELMING AND UNFAIR. WOULD RECOMMEND.
R104639,2025-03-07,Engineering,3,4,
R103933,2025-03-28,Support,5,8,Couldn't ask for a better setup because the tools we use are reliable. Needs to change soon.
R101411,2025-03-21,Marketing,3,4,Mixed feelings honestly because a few things work well but others need attention. Thanks for asking.
R105443,2025-01-12,Engineering,2,4,Really unhappy with the situation because communication is terrible. Would recommend.
R107462,2025-12-12,Engineering,1,2,Honestly disappointed because promises are never kept. Please look into it.
R100524,2025-10-14,Marketing,5,8,So impressed with the support because communication is clear and helpful. That's my honest take.
R101244,2025-12-04,Engineering,4,7,Genuinely love working here because the tools we use are reliable. That's my honest take.
R103948,2025-10-20,Operations,3,6,"Not bad, not great because decent tools but slow processes. Needs to change soon."
R107760,2025-10-23,Engineering,4,8,So impressed with the support because onboarding was smooth and friendly. Hope it stays this way.
R103628,2025-12-07,Engineering,2,4,Not a great experience at all because promises are never kept. Please look into it.
R106875,2025-01-19,Operations,3,5,"Some good, some bad because improving slowly but still gaps. That's my honest take."
R105915,2025-10-23,People,5,9,So impressed with the support because communication is clear and helpful. Hope it stays this way.
R105353,2025-11-05,Engineering,5,8,
R106021,2025-04-24,Operations,5,10,Couldn't ask for a better setup because onboarding was smooth and friendly.
R107785,2025-07-26,Engineering,3,6,"Not bad, not great because good people, unclear direction. Please look into it."
R102682,2025-10-17,Support,5,8,Couldn't ask for a better setup because the tools we use are reliable. Hope it stays this way.
R101729,2025-04-02,Support,3,4,Could go either way because a few things work well but others need attention. Hope it stays this way.
R101274,2025-07-08,Support,4,7,Everything has been excellent because the managers actually listen. That's my honest take.
R104180,2025-11-08,Sales,5,10,Everything has been excellent because the managers actually listen. Please look into it.
R104148,2025-07-06,Support,2,4,I keep running into problems because promises are never kept.
R107647,2025-12-29,Operations,3,5,"SOME GOOD, SOME BAD BECAUSE FINE DAY TO DAY, FRUSTRATING AT MONTH-END. HOPE IT STAYS THIS WAY."
R103418,2025-10-01,Support,4,8,Really happy with how things are going because the managers actually listen. Hope it stays this way.
R103677,2025-09-10,Marketing,5,8,So impressed with the support because great work-life balance. Thanks for asking.
R104242,2025-03-29,Engineering,3,6,It's okay overall because the basics are fine though support lags.
R107232,2025-12-17,Support,2,4,Honestly disappointed because teh tools crash constantly. Please look into it.
R101579,2025-12-08,Engineering,4,8,Best experience I've had because the tools we use are reliable. Please look into it.
R100414,2025-06-03,Operations,3,6,"Mixed feelings honestly because good people, unclear direction."
R105458,2025-10-05,Operations,5,8,Everything has been excellent because onboarding was smooth and friendly. Would recommend.
R106359,2025-08-09,Sales,3,5,It's okay overall because a few things work well but others need attention. Hope it stays this way.
R107849,2025-12-15,Sales,4,9,
R106754,2025-10-06,Operations,4,7,The team is fantastic because the managers actually listen. That's my honest take.
R106707,2025-09-03,Support,5,8,Really happy with how things are going because my feedback gets acted on quickly. That's my honest take.
R106335,2025-04-22,Engineering,4,9,
R107923,2025-11-18,People,5,8,Really happy with how things are going because communication is clear and helpful.
R105189,2025-05-21,Sales,3,6,"Some good, some bad because a few things work well but others need attention. Thanks for asking."
R103029,2025-12-06,Engineering,4,9,
R101119,2025-11-22,Support,4,8,The team is fantastic because the managers actually listen. Would recommend.
R103559,2025-03-05,Sales,4,7,Couldn't ask for a better setup because leadership is transparent. Please look into it.
R103679,2025-01-26,Support,4,9,Everything has been excellent because great work-life balance. Needs to change soon.
R100744,2025-11-05,Engineering,5,10,Genuinely love working here because leadership is transparent.
R104232,2025-10-23,Support,5,9,Everything has been excellent because communication is clear and helpful. Thanks for asking.
R104543,2025-08-24,People,3,6,Could go either way because improving slowly but still gaps. That's my honest take.
R101354,2025-01-06,Engineering,5,9,Really happy with how things are going because leadership is transparent. Thanks for asking.
R103063,2025-09-09,Engineering,2,3,Honestly disappointed because the tools crash constantly. Needs to change soon.
R105102,2025-10-24,Engineering,3,6,Could go either way because decent tools but slow processes. Needs to change soon.
R103213,2025-03-31,Operations,4,8,EVERYTHING HAS BEEN EXCELLENT BECAUSE COMMUNICATION IS CLEAR AND HELPFUL. PLEASE LOOK INTO IT.
R101163,2025-01-11,Sales,1,0,The whole thing feels broken because management ignores our concerns. That's my honest take.
R104142,2025-12-22,Marketing,4,9,The team is fantastic because great work-life balance. Would recommend.
R101305,2025-03-01,Marketing,3,4,"SOME GOOD, SOME BAD BECAUSE A FEW THINGS WORK WELL BUT OTHERS NEED ATTENTION. WOULD RECOMMEND."
R106173,2025-05-30,Sales,3,6,"Some good, some bad because good people, unclear direction. Thanks for asking."
R100098,2025-01-09,Sales,4,9,Genuinely love working here because great work-life balance. Hope it stays this way.
R103883,2025-12-11,Operations,4,8,Really happy with how things are going because onboarding was smooth and friendly. Hope it stays this way.
R105379,2025-08-17,Engineering,5,8,Couldn't ask for a better setup because great work-life balance. That's my honest take.
R100381,2025-07-22,Support,4,8,Genuinely love working here because leadership is transparent. Thanks for asking.
R100620,2025-10-25,Operations,1,2,I keep running into problems because the tools crash constantly.
R101898,2025-05-02,Support,5,9,
R103957,2025-11-30,People,3,4,Mixed feelings honestly because improving slowly but still gaps. Hope it stays this way.
R101142,2025-10-24,Sales,5,10,Really happy with how things are going because the managers actually listen.
R105492,2025-01-07,Sales,4,9,Really happy with how things are going because the tools we use are reliable. That's my honest take.
R104416,2025-03-19,Sales,1,0,Honestly disappointed because communication is terrible. That's my honest take.
R105386,2025-08-27,People,3,4,"Some good, some bad because good people, unclear direction. Hope it stays this way."
R107671,2025-08-06,Sales,4,7,Couldn't ask for a better setup because leadership is transparent. Thanks for asking.
R106221,2025-12-13,Sales,5,8,Everything has been excellent because great work-life balance. Hope it stays this way.
R106090,2025-12-17,Support,4,9,Genuinely love working here because leadership is transparent. Please look into it.
R105536,2025-06-04,Support,4,9,The team is fantastic because the tools we use are reliable. That's my honest take.
R100914,2025-08-27,Engineering,2,3,Not a great experience at all because the tools crash constantly. Hope it stays this way.
R103284,2025-08-04,Operations,3,6,"It's okay overall because good people, unclear direction."
R100780,2025-08-20,Sales,4,9,Really happy with how things are going because my feedback gets acted on quickly. Would recommend.
R104177,2025-02-22,Engineering,4,9,Couldn't ask for a better setup because the tools we use are reliable.
R102987,2025-11-02,People,2,3,
R105703,2025-05-05,Marketing,1,2,Pretty let down lately because communication is terrible. Would recommend.
R103619,2025-04-11,Sales,3,5,"Not bad, not great because decent tools but slow processes."
R101786,2025-06-04,Engineering,5,9,Really happy with how things are going because the tools we use are reliable. Would recommend.
R100315,2025-08-26,Sales,5,8,Everything has been excellent because leadership is transparent. Thanks for asking.
R103181,2025-07-06,Sales,2,2,Honestly disappointed because promises are never kept. That's my honest take.
R104857,2025-04-21,Engineering,5,9,Everything has been excellent because the tools we use are reliable. Thanks for asking.
R105722,2025-02-24,People,3,6,COULD GO EITHER WAY BECAUSE A FEW THINGS WORK WELL BUT OTHERS NEED ATTENTION. PLEASE LOOK INTO IT.
R100133,2025-02-21,Engineering,3,4,Average experience so far because a few things work well but others need attention. Thanks for asking.
R107877,2025-07-22,Engineering,4,8,The team is fantastic because the tools we use are reliable. Hope it stays this way.
R104423,2025-12-30,Sales,1,2,I keep running into problems because the tools crash constantly. Hope it stays this way.
R100871,2025-02-20,Engineering,1,1,I keep running into problems because nobody responds to my requests. That's my honest take.
R101304,2025-07-15,Operations,5,8,Everything has been excellent because leadership is transparent.
R105844,2025-03-26,Operations,3,4,It's okay overall because improving slowly but still gaps.
R100486,2025-07-21,Engineering,1,0,I keep running into problems because workload is overwhelming and unfair.
R103765,2025-10-31,Sales,4,7,So impressed with teh support because my feedback gets acted on quickly. Thanks for asking.
R105332,2025-01-20,Sales,2,2,This has been frustrating because the process is slow and confusing.
R104532,2025-07-11,Sales,3,4,COULD GO EITHER WAY BECAUSE IMPROVING SLOWLY BUT STILL GAPS. NEEDS TO CHANGE SOON.
R103942,2025-06-24,Marketing,4,9,Everything has been excellent because the tools we use are reliable.
R104364,2025-11-26,Engineering,4,7,Best experience I've had because great work-life balance. Please look into it.
R104881,2025-12-01,Marketing,2,4,Really unhappy with the situation because the process is slow and confusing. Needs to change soon.
R101125,2025-10-26,Marketing,3,5,MIXED FEELINGS HONESTLY BECAUSE DECENT TOOLS BUT SLOW PROCESSES. PLEASE LOOK INTO IT.
R105551,2025-03-22,Sales,4,9,The team is fantastic because leadership is transparent.
R106511,2025-11-30,Marketing,3,5,Average experience so far because the basics are fine though support lags. Needs to change soon.
R101203,2025-03-27,Marketing,4,8,Couldn't ask for a better setup because the tools we use are reliable.
R106714,2025-02-02,Operations,3,6,
R106358,2025-11-28,Support,2,4,Really unhappy with the situation because the tools crash constantly. That's my honest take.
R101874,2025-12-03,Operations,5,9,The team is fantastic because comunication is clear and helpful. Needs to change soon.
R107144,2025-10-24,Sales,4,8,Genuinely love working here because leadership is transparent. Please look into it.
R104624,2025-12-06,People,3,6,"Some good, some bad because the basics are fine though support lags."
R103371,2025-07-29,Sales,4,8,Really happy with how things are going because the managers actually listen. Thanks for asking.
R104764,2025-03-27,Support,3,6,"Some good, some bad because improving slowly but still gaps. Please look into it."
R104817,2025-10-05,Operations,5,9,Everything has been excellent because the managers actually listen. That's my honest take.
R105905,2025-06-03,Sales,4,9,Really happy with how things are going because communication is clear and helpful. Please look into it.
R106209,2025-12-18,Engineering,1,0,Not a great experience at all because promises are never kept. Hope it stays this way.
R102626,2025-01-15,Operations,4,7,Couldn't ask for a better setup because the tools we use are reliable.
R104875,2025-10-09,Engineering,2,4,The whole thing feels broken because the process is slow and confusing. Would recommend.
R101285,2025-07-29,Marketing,3,4,AVERAGE EXPERIENCE SO FAR BECAUSE IMPROVING SLOWLY BUT STILL GAPS. THANKS FOR ASKING.
R105557,2025-05-13,Engineering,1,2,Honestly disappointed because management ignores our concerns. Hope it stays this way.
R107815,2025-05-09,Engineering,4,7,Couldn't ask for a better setup because the managers actually listen. Needs to change soon.
R103220,2025-08-19,Operations,5,8,Really happy with how things are going because my feedback gets acted on quickly. Would recommend.
R102347,2025-03-17,Sales,4,9,Couldn't ask for a better setup because leadership is transparent. Thanks for asking.
R100995,2025-08-27,Support,5,10,The team is fantastic because great work-life balance. That's my honest take.
R100242,2025-09-20,Engineering,3,6,Could go either way because improving slowly but still gaps. Hope it stays this way.
R102503,2025-08-22,Support,1,1,This has been frustrating because promises are never kept. Hope it stays this way.
R107342,2025-10-20,Sales,2,2,Honestly disappointed because communication is terrible. Needs to change soon.
R102729,2025-04-04,Sales,3,6,"Some good, some bad because improving slowly but still gaps. That's my honest take."
R105575,2025-08-08,Sales,4,9,Couldn't ask for a better setup because the tools we use are reliable.
R104052,2025-02-22,Support,5,8,The team is fantastic because the managers actually listen. Thanks for asking.
R106283,2025-07-27,People,5,10,So impressed with the support because great work-life balance. Thanks for asking.
R102573,2025-10-12,Sales,3,4,Could go either way because decent tools but slow processes. Would recommend.
R105618,2025-10-23,Support,5,8,Couldn't ask for a better setup because the tools we use are reliable. Please look into it.
R101529,2025-09-16,Sales,4,8,Genuinely love working here because communication is clear and helpful. Hope it stays this way.
R106127,2025-03-13,Support,4,9,Really happy with how things are going because leadership is transparent. Would recommend.
